Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
YAKUSHEV v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.636,0.143,0.233,7,4,42,49,11
YAKUSHEV v. UKRAINE,mixtral:8x7b,Lenient,0.000,0.000,0.000,0,2,49,49,2
YAKUSHEV v. UKRAINE,mixtral:8x7b,Strict,0.000,0.000,0.000,0,2,49,49,2
YAKUSHEV v. UKRAINE,dolphin3:8b,Lenient,1.000,0.020,0.040,1,0,48,49,1
YAKUSHEV v. UKRAINE,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,49,49,1
STANA v. ROMANIA,gemma3:1b,Lenient,0.345,0.370,0.357,10,19,17,27,29
STANA v. ROMANIA,gemma3:1b,Strict,0.207,0.222,0.214,6,23,21,27,29
STANA v. ROMANIA,gemma3:4b,Lenient,0.400,0.222,0.286,6,9,21,27,15
STANA v. ROMANIA,gemma3:4b,Strict,0.267,0.148,0.190,4,11,23,27,15
STANA v. ROMANIA,gemma3:12b,Lenient,0.444,0.444,0.444,12,15,15,27,27
STANA v. ROMANIA,gemma3:12b,Strict,0.259,0.259,0.259,7,20,20,27,27
STANA v. ROMANIA,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,27,27,0
STANA v. ROMANIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,27,27,0
STANA v. ROMANIA,deepseek-r1:8b,Lenient,0.800,0.444,0.571,12,3,15,27,15
STANA v. ROMANIA,deepseek-r1:8b,Strict,0.600,0.333,0.429,9,6,18,27,15
STANA v. ROMANIA,mistral:latest,Lenient,0.270,0.370,0.312,10,27,17,27,37
STANA v. ROMANIA,mistral:latest,Strict,0.135,0.185,0.156,5,32,22,27,37
STANA v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.000,0.000,0.000,0,0,27,27,0
STANA v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,0,27,27,0
STANA v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.600,0.111,0.188,3,2,24,27,5
STANA v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.400,0.074,0.125,2,3,25,27,5
STANA v. ROMANIA,mixtral:8x7b,Lenient,0.286,0.222,0.250,6,15,21,27,21
STANA v. ROMANIA,mixtral:8x7b,Strict,0.095,0.074,0.083,2,19,25,27,21
STANA v. ROMANIA,dolphin3:8b,Lenient,0.000,0.000,0.000,0,0,27,27,0
STANA v. ROMANIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,0,27,27,0
_NODI v. HUNGARY,gemma3:1b,Lenient,0.444,0.163,0.238,20,25,103,123,45
_NODI v. HUNGARY,gemma3:1b,Strict,0.356,0.130,0.190,16,29,107,123,45
_NODI v. HUNGARY,gemma3:4b,Lenient,0.568,0.171,0.263,21,16,102,123,37
_NODI v. HUNGARY,gemma3:4b,Strict,0.243,0.073,0.112,9,28,114,123,37
_NODI v. HUNGARY,gemma3:12b,Lenient,0.571,0.260,0.358,32,24,91,123,56
_NODI v. HUNGARY,gemma3:12b,Strict,0.393,0.179,0.246,22,34,101,123,56
_NODI v. HUNGARY,llama3.3:latest,Lenient,0.630,0.138,0.227,17,10,106,123,27
_NODI v. HUNGARY,llama3.3:latest,Strict,0.519,0.114,0.187,14,13,109,123,27
_NODI v. HUNGARY,deepseek-r1:8b,Lenient,0.500,0.073,0.128,9,9,114,123,18
_NODI v. HUNGARY,deepseek-r1:8b,Strict,0.333,0.049,0.085,6,12,117,123,18
_NODI v. HUNGARY,mistral:latest,Lenient,0.370,0.358,0.364,44,75,79,123,119
_NODI v. HUNGARY,mistral:latest,Strict,0.252,0.244,0.248,30,89,93,123,119
_NODI v. HUNGARY,incept5/llama3.1-claude:latest,Lenient,0.111,0.008,0.015,1,8,122,123,9
_NODI v. HUNGARY,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,9,123,123,9
_NODI v. HUNGARY,chevalblanc/claude-3-haiku:latest,Lenient,0.500,0.041,0.075,5,5,118,123,10
_NODI v. HUNGARY,chevalblanc/claude-3-haiku:latest,Strict,0.500,0.041,0.075,5,5,118,123,10
_NODI v. HUNGARY,mixtral:8x7b,Lenient,0.455,0.244,0.317,30,36,93,123,66
_NODI v. HUNGARY,mixtral:8x7b,Strict,0.242,0.130,0.169,16,50,107,123,66
_NODI v. HUNGARY,dolphin3:8b,Lenient,0.500,0.008,0.016,1,1,122,123,2
_NODI v. HUNGARY,dolphin3:8b,Strict,0.000,0.000,0.000,0,2,123,123,2
PAKHTUSOV v. RUSSIA,gemma3:1b,Lenient,0.320,0.320,0.320,16,34,34,50,50
PAKHTUSOV v. RUSSIA,gemma3:1b,Strict,0.260,0.260,0.260,13,37,37,50,50
PAKHTUSOV v. RUSSIA,gemma3:4b,Lenient,0.590,0.460,0.517,23,16,27,50,39
PAKHTUSOV v. RUSSIA,gemma3:4b,Strict,0.462,0.360,0.404,18,21,32,50,39
PAKHTUSOV v. RUSSIA,gemma3:12b,Lenient,0.793,0.460,0.582,23,6,27,50,29
PAKHTUSOV v. RUSSIA,gemma3:12b,Strict,0.552,0.320,0.405,16,13,34,50,29
PAKHTUSOV v. RUSSIA,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,50,50,0
PAKHTUSOV v. RUSSIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,50,50,0
PAKHTUSOV v. RUSSIA,deepseek-r1:8b,Lenient,0.667,0.160,0.258,8,4,42,50,12
PAKHTUSOV v. RUSSIA,deepseek-r1:8b,Strict,0.333,0.080,0.129,4,8,46,50,12
PAKHTUSOV v. RUSSIA,mistral:latest,Lenient,0.400,0.640,0.492,32,48,18,50,80
PAKHTUSOV v. RUSSIA,mistral:latest,Strict,0.325,0.520,0.400,26,54,24,50,80
PAKHTUSOV v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.474,0.180,0.261,9,10,41,50,19
PAKHTUSOV v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.368,0.140,0.203,7,12,43,50,19
PAKHTUSOV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.667,0.200,0.308,10,5,40,50,15
PAKHTUSOV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.533,0.160,0.246,8,7,42,50,15
PAKHTUSOV v. RUSSIA,mixtral:8x7b,Lenient,0.688,0.220,0.333,11,5,39,50,16
PAKHTUSOV v. RUSSIA,mixtral:8x7b,Strict,0.375,0.120,0.182,6,10,44,50,16
PAKHTUSOV v. RUSSIA,dolphin3:8b,Lenient,1.000,0.020,0.039,1,0,49,50,1
PAKHTUSOV v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,50,50,1
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:1b,Lenient,0.182,0.027,0.047,4,18,144,148,22
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:1b,Strict,0.182,0.027,0.047,4,18,144,148,22
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:4b,Lenient,0.095,0.027,0.042,4,38,144,148,42
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:4b,Strict,0.000,0.000,0.000,0,42,148,148,42
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:12b,Lenient,0.750,0.061,0.113,9,3,139,148,12
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:12b,Strict,0.583,0.047,0.088,7,5,141,148,12
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama3.3:latest,Lenient,0.667,0.027,0.052,4,2,144,148,6
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama3.3:latest,Strict,0.667,0.027,0.052,4,2,144,148,6
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,deepseek-r1:8b,Lenient,1.000,0.027,0.053,4,0,144,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,deepseek-r1:8b,Strict,1.000,0.027,0.053,4,0,144,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mistral:latest,Lenient,0.263,0.176,0.211,26,73,122,148,99
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mistral:latest,Strict,0.242,0.162,0.194,24,75,124,148,99
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,incept5/llama3.1-claude:latest,Lenient,0.182,0.027,0.047,4,18,144,148,22
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,incept5/llama3.1-claude:latest,Strict,0.182,0.027,0.047,4,18,144,148,22
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.000,0.000,0.000,0,1,148,148,1
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,chevalblanc/claude-3-haiku:latest,Strict,0.000,0.000,0.000,0,1,148,148,1
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mixtral:8x7b,Lenient,0.286,0.014,0.026,2,5,146,148,7
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mixtral:8x7b,Strict,0.143,0.007,0.013,1,6,147,148,7
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin3:8b,Lenient,0.458,0.074,0.128,11,13,137,148,24
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin3:8b,Strict,0.417,0.068,0.116,10,14,138,148,24
S.V. v. ITALY,gemma3:1b,Lenient,0.333,0.243,0.281,18,36,56,74,54
S.V. v. ITALY,gemma3:1b,Strict,0.259,0.189,0.219,14,40,60,74,54
S.V. v. ITALY,gemma3:4b,Lenient,0.354,0.230,0.279,17,31,57,74,48
S.V. v. ITALY,gemma3:4b,Strict,0.229,0.149,0.180,11,37,63,74,48
S.V. v. ITALY,gemma3:12b,Lenient,0.600,0.324,0.421,24,16,50,74,40
S.V. v. ITALY,gemma3:12b,Strict,0.400,0.216,0.281,16,24,58,74,40
S.V. v. ITALY,llama3.3:latest,Lenient,0.676,0.311,0.426,23,11,51,74,34
S.V. v. ITALY,llama3.3:latest,Strict,0.647,0.297,0.407,22,12,52,74,34
S.V. v. ITALY,deepseek-r1:8b,Lenient,0.594,0.257,0.358,19,13,55,74,32
S.V. v. ITALY,deepseek-r1:8b,Strict,0.469,0.203,0.283,15,17,59,74,32
S.V. v. ITALY,mistral:latest,Lenient,0.321,0.230,0.268,17,36,57,74,53
S.V. v. ITALY,mistral:latest,Strict,0.245,0.176,0.205,13,40,61,74,53
S.V. v. ITALY,incept5/llama3.1-claude:latest,Lenient,0.560,0.378,0.452,28,22,46,74,50
S.V. v. ITALY,incept5/llama3.1-claude:latest,Strict,0.440,0.297,0.355,22,28,52,74,50
S.V. v. ITALY,chevalblanc/claude-3-haiku:latest,Lenient,0.632,0.162,0.258,12,7,62,74,19
S.V. v. ITALY,chevalblanc/claude-3-haiku:latest,Strict,0.579,0.149,0.237,11,8,63,74,19
S.V. v. ITALY,mixtral:8x7b,Lenient,0.333,0.108,0.163,8,16,66,74,24
S.V. v. ITALY,mixtral:8x7b,Strict,0.250,0.081,0.122,6,18,68,74,24
S.V. v. ITALY,dolphin3:8b,Lenient,0.684,0.351,0.464,26,12,48,74,38
S.V. v. ITALY,dolphin3:8b,Strict,0.605,0.311,0.411,23,15,51,74,38
CAN v. TURKEY,gemma3:1b,Lenient,0.667,0.156,0.253,10,5,54,64,15
CAN v. TURKEY,gemma3:1b,Strict,0.467,0.109,0.177,7,8,57,64,15
CAN v. TURKEY,gemma3:4b,Lenient,0.600,0.516,0.555,33,22,31,64,55
CAN v. TURKEY,gemma3:4b,Strict,0.491,0.422,0.454,27,28,37,64,55
CAN v. TURKEY,gemma3:12b,Lenient,0.594,0.594,0.594,38,26,26,64,64
CAN v. TURKEY,gemma3:12b,Strict,0.469,0.469,0.469,30,34,34,64,64
CAN v. TURKEY,llama3.3:latest,Lenient,0.587,0.422,0.491,27,19,37,64,46
CAN v. TURKEY,llama3.3:latest,Strict,0.478,0.344,0.400,22,24,42,64,46
CAN v. TURKEY,deepseek-r1:8b,Lenient,0.737,0.438,0.549,28,10,36,64,38
CAN v. TURKEY,deepseek-r1:8b,Strict,0.579,0.344,0.431,22,16,42,64,38
CAN v. TURKEY,mistral:latest,Lenient,0.611,0.516,0.559,33,21,31,64,54
CAN v. TURKEY,mistral:latest,Strict,0.500,0.422,0.458,27,27,37,64,54
CAN v. TURKEY,incept5/llama3.1-claude:latest,Lenient,0.125,0.031,0.050,2,14,62,64,16
CAN v. TURKEY,incept5/llama3.1-claude:latest,Strict,0.062,0.016,0.025,1,15,63,64,16
CAN v. TURKEY,chevalblanc/claude-3-haiku:latest,Lenient,0.923,0.375,0.533,24,2,40,64,26
CAN v. TURKEY,chevalblanc/claude-3-haiku:latest,Strict,0.885,0.359,0.511,23,3,41,64,26
CAN v. TURKEY,mixtral:8x7b,Lenient,0.625,0.469,0.536,30,18,34,64,48
CAN v. TURKEY,mixtral:8x7b,Strict,0.542,0.406,0.464,26,22,38,64,48
CAN v. TURKEY,dolphin3:8b,Lenient,0.333,0.016,0.030,1,2,63,64,3
CAN v. TURKEY,dolphin3:8b,Strict,0.000,0.000,0.000,0,3,64,64,3
O.C.I. AND OTHERS v. ROMANIA,gemma3:1b,Lenient,0.196,0.103,0.135,10,41,87,97,51
O.C.I. AND OTHERS v. ROMANIA,gemma3:1b,Strict,0.196,0.103,0.135,10,41,87,97,51
O.C.I. AND OTHERS v. ROMANIA,gemma3:4b,Lenient,0.500,0.124,0.198,12,12,85,97,24
O.C.I. AND OTHERS v. ROMANIA,gemma3:4b,Strict,0.250,0.062,0.099,6,18,91,97,24
O.C.I. AND OTHERS v. ROMANIA,gemma3:12b,Lenient,0.692,0.186,0.293,18,8,79,97,26
O.C.I. AND OTHERS v. ROMANIA,gemma3:12b,Strict,0.462,0.124,0.195,12,14,85,97,26
O.C.I. AND OTHERS v. ROMANIA,llama3.3:latest,Lenient,0.649,0.247,0.358,24,13,73,97,37
O.C.I. AND OTHERS v. ROMANIA,llama3.3:latest,Strict,0.595,0.227,0.328,22,15,75,97,37
O.C.I. AND OTHERS v. ROMANIA,deepseek-r1:8b,Lenient,0.500,0.103,0.171,10,10,87,97,20
O.C.I. AND OTHERS v. ROMANIA,deepseek-r1:8b,Strict,0.350,0.072,0.120,7,13,90,97,20
O.C.I. AND OTHERS v. ROMANIA,mistral:latest,Lenient,0.381,0.082,0.136,8,13,89,97,21
O.C.I. AND OTHERS v. ROMANIA,mistral:latest,Strict,0.238,0.052,0.085,5,16,92,97,21
O.C.I. AND OTHERS v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.690,0.299,0.417,29,13,68,97,42
O.C.I. AND OTHERS v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.500,0.216,0.302,21,21,76,97,42
O.C.I. AND OTHERS v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.750,0.155,0.256,15,5,82,97,20
O.C.I. AND OTHERS v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.550,0.113,0.188,11,9,86,97,20
O.C.I. AND OTHERS v. ROMANIA,mixtral:8x7b,Lenient,0.769,0.103,0.182,10,3,87,97,13
O.C.I. AND OTHERS v. ROMANIA,mixtral:8x7b,Strict,0.538,0.072,0.127,7,6,90,97,13
O.C.I. AND OTHERS v. ROMANIA,dolphin3:8b,Lenient,0.690,0.206,0.317,20,9,77,97,29
O.C.I. AND OTHERS v. ROMANIA,dolphin3:8b,Strict,0.448,0.134,0.206,13,16,84,97,29
CABUCAK v. GERMANY,gemma3:1b,Lenient,0.246,0.086,0.128,14,43,148,162,57
CABUCAK v. GERMANY,gemma3:1b,Strict,0.228,0.080,0.119,13,44,149,162,57
CABUCAK v. GERMANY,gemma3:4b,Lenient,0.517,0.191,0.279,31,29,131,162,60
CABUCAK v. GERMANY,gemma3:4b,Strict,0.250,0.093,0.135,15,45,147,162,60
CABUCAK v. GERMANY,gemma3:12b,Lenient,0.773,0.210,0.330,34,10,128,162,44
CABUCAK v. GERMANY,gemma3:12b,Strict,0.705,0.191,0.301,31,13,131,162,44
CABUCAK v. GERMANY,llama3.3:latest,Lenient,0.816,0.438,0.570,71,16,91,162,87
CABUCAK v. GERMANY,llama3.3:latest,Strict,0.678,0.364,0.474,59,28,103,162,87
CABUCAK v. GERMANY,deepseek-r1:8b,Lenient,0.545,0.037,0.069,6,5,156,162,11
CABUCAK v. GERMANY,deepseek-r1:8b,Strict,0.545,0.037,0.069,6,5,156,162,11
CABUCAK v. GERMANY,mistral:latest,Lenient,0.125,0.012,0.022,2,14,160,162,16
CABUCAK v. GERMANY,mistral:latest,Strict,0.062,0.006,0.011,1,15,161,162,16
CABUCAK v. GERMANY,incept5/llama3.1-claude:latest,Lenient,0.585,0.340,0.430,55,39,107,162,94
CABUCAK v. GERMANY,incept5/llama3.1-claude:latest,Strict,0.511,0.296,0.375,48,46,114,162,94
CABUCAK v. GERMANY,chevalblanc/claude-3-haiku:latest,Lenient,0.333,0.019,0.035,3,6,159,162,9
CABUCAK v. GERMANY,chevalblanc/claude-3-haiku:latest,Strict,0.222,0.012,0.023,2,7,160,162,9
CABUCAK v. GERMANY,mixtral:8x7b,Lenient,0.703,0.556,0.621,90,38,72,162,128
CABUCAK v. GERMANY,mixtral:8x7b,Strict,0.570,0.451,0.503,73,55,89,162,128
CABUCAK v. GERMANY,dolphin3:8b,Lenient,0.000,0.000,0.000,0,2,162,162,2
CABUCAK v. GERMANY,dolphin3:8b,Strict,0.000,0.000,0.000,0,2,162,162,2
