Document,Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_what,Strict,0.100,0.071,0.083,1,9,13,14,10
MOSKALEV v. RUSSIA,dolphin3:8b,Event,Lenient,1.000,0.091,0.167,1,0,10,11,1
MOSKALEV v. RUSSIA,dolphin3:8b,Event,Strict,0.000,0.000,0.000,0,1,11,11,1
MOSKALEV v. RUSSIA,dolphin3:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,dolphin3:8b,Event_who,Strict,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,dolphin3:8b,Event_when,Lenient,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,dolphin3:8b,Event_when,Strict,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,dolphin3:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,dolphin3:8b,Event_what,Strict,0.000,0.000,0.000,0,0,14,14,0
PANYUSHKINY v. RUSSIA,gemma3:1b,Event,Lenient,0.591,0.394,0.473,13,9,20,33,22
PANYUSHKINY v. RUSSIA,gemma3:1b,Event,Strict,0.500,0.333,0.400,11,11,22,33,22
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_who,Lenient,0.333,0.061,0.103,2,4,31,33,6
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_who,Strict,0.333,0.061,0.103,2,4,31,33,6
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_when,Lenient,0.524,0.407,0.458,11,10,16,27,21
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_when,Strict,0.476,0.370,0.417,10,11,17,27,21
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_what,Lenient,0.667,0.056,0.103,2,1,34,36,3
PANYUSHKINY v. RUSSIA,gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,3,36,36,3
PANYUSHKINY v. RUSSIA,gemma3:4b,Event,Lenient,0.781,0.758,0.769,25,7,8,33,32
PANYUSHKINY v. RUSSIA,gemma3:4b,Event,Strict,0.594,0.576,0.585,19,13,14,33,32
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_who,Lenient,0.143,0.030,0.050,1,6,32,33,7
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_who,Strict,0.143,0.030,0.050,1,6,32,33,7
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_when,Lenient,0.667,0.667,0.667,18,9,9,27,27
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_when,Strict,0.593,0.593,0.593,16,11,11,27,27
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_what,Lenient,0.800,0.111,0.195,4,1,32,36,5
PANYUSHKINY v. RUSSIA,gemma3:4b,Event_what,Strict,0.000,0.000,0.000,0,5,36,36,5
PANYUSHKINY v. RUSSIA,gemma3:12b,Event,Lenient,0.941,0.485,0.640,16,1,17,33,17
PANYUSHKINY v. RUSSIA,gemma3:12b,Event,Strict,0.941,0.485,0.640,16,1,17,33,17
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_who,Lenient,0.312,0.152,0.204,5,11,28,33,16
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_who,Strict,0.062,0.030,0.041,1,15,32,33,16
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_when,Lenient,0.882,0.556,0.682,15,2,12,27,17
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_when,Strict,0.882,0.556,0.682,15,2,12,27,17
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_what,Lenient,1.000,0.417,0.588,15,0,21,36,15
PANYUSHKINY v. RUSSIA,gemma3:12b,Event_what,Strict,0.600,0.250,0.353,9,6,27,36,15
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event,Lenient,1.000,0.424,0.596,14,0,19,33,14
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event,Strict,1.000,0.424,0.596,14,0,19,33,14
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_who,Lenient,0.385,0.152,0.217,5,8,28,33,13
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_who,Strict,0.077,0.030,0.043,1,12,32,33,13
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_when,Lenient,0.929,0.481,0.634,13,1,14,27,14
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_when,Strict,0.857,0.444,0.585,12,2,15,27,14
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_what,Lenient,1.000,0.139,0.244,5,0,31,36,5
PANYUSHKINY v. RUSSIA,llama3.3:latest,Event_what,Strict,0.800,0.111,0.195,4,1,32,36,5
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event,Lenient,0.700,0.212,0.326,7,3,26,33,10
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event,Strict,0.700,0.212,0.326,7,3,26,33,10
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_who,Lenient,0.500,0.061,0.108,2,2,31,33,4
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_who,Strict,0.000,0.000,0.000,0,4,33,33,4
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_when,Lenient,0.750,0.111,0.194,3,1,24,27,4
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_when,Strict,0.000,0.000,0.000,0,4,27,27,4
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_what,Lenient,1.000,0.083,0.154,3,0,33,36,3
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Event_what,Strict,0.667,0.056,0.103,2,1,34,36,3
PANYUSHKINY v. RUSSIA,mistral:latest,Event,Lenient,0.528,0.848,0.651,28,25,5,33,53
PANYUSHKINY v. RUSSIA,mistral:latest,Event,Strict,0.509,0.818,0.628,27,26,6,33,53
PANYUSHKINY v. RUSSIA,mistral:latest,Event_who,Lenient,0.129,0.121,0.125,4,27,29,33,31
PANYUSHKINY v. RUSSIA,mistral:latest,Event_who,Strict,0.065,0.061,0.062,2,29,31,33,31
PANYUSHKINY v. RUSSIA,mistral:latest,Event_when,Lenient,0.688,0.815,0.746,22,10,5,27,32
PANYUSHKINY v. RUSSIA,mistral:latest,Event_when,Strict,0.656,0.778,0.712,21,11,6,27,32
PANYUSHKINY v. RUSSIA,mistral:latest,Event_what,Lenient,0.429,0.583,0.494,21,28,15,36,49
PANYUSHKINY v. RUSSIA,mistral:latest,Event_what,Strict,0.061,0.083,0.071,3,46,33,36,49
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event,Lenient,0.667,0.788,0.722,26,13,7,33,39
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event,Strict,0.641,0.758,0.694,25,14,8,33,39
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Lenient,0.000,0.000,0.000,0,6,33,33,6
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Strict,0.000,0.000,0.000,0,6,33,33,6
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Lenient,0.810,0.630,0.708,17,4,10,27,21
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Strict,0.810,0.630,0.708,17,4,10,27,21
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Lenient,0.500,0.056,0.100,2,2,34,36,4
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Strict,0.000,0.000,0.000,0,4,36,36,4
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Lenient,0.500,0.030,0.057,1,1,32,33,2
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Strict,0.500,0.030,0.057,1,1,32,33,2
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.500,0.037,0.069,1,1,26,27,2
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.500,0.037,0.069,1,1,26,27,2
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,36,36,0
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.000,0.000,0.000,0,0,36,36,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event,Lenient,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event,Strict,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_who,Lenient,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_who,Strict,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_when,Lenient,0.000,0.000,0.000,0,0,27,27,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_when,Strict,0.000,0.000,0.000,0,0,27,27,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_what,Lenient,0.000,0.000,0.000,0,0,36,36,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Event_what,Strict,0.000,0.000,0.000,0,0,36,36,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event,Lenient,1.000,0.030,0.059,1,0,32,33,1
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event,Strict,0.000,0.000,0.000,0,1,33,33,1
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_who,Strict,0.000,0.000,0.000,0,0,33,33,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_when,Lenient,0.000,0.000,0.000,0,0,27,27,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_when,Strict,0.000,0.000,0.000,0,0,27,27,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,36,36,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Event_what,Strict,0.000,0.000,0.000,0,0,36,36,0
SOLCAN v. ROMANIA,gemma3:1b,Event,Lenient,0.571,0.615,0.593,8,6,5,13,14
SOLCAN v. ROMANIA,gemma3:1b,Event,Strict,0.571,0.615,0.593,8,6,5,13,14
SOLCAN v. ROMANIA,gemma3:1b,Event_who,Lenient,0.000,0.000,0.000,0,3,13,13,3
SOLCAN v. ROMANIA,gemma3:1b,Event_who,Strict,0.000,0.000,0.000,0,3,13,13,3
SOLCAN v. ROMANIA,gemma3:1b,Event_when,Lenient,0.583,0.636,0.609,7,5,4,11,12
SOLCAN v. ROMANIA,gemma3:1b,Event_when,Strict,0.583,0.636,0.609,7,5,4,11,12
SOLCAN v. ROMANIA,gemma3:1b,Event_what,Lenient,0.000,0.000,0.000,0,0,18,18,0
SOLCAN v. ROMANIA,gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,0,18,18,0
SOLCAN v. ROMANIA,gemma3:4b,Event,Lenient,0.667,0.308,0.421,4,2,9,13,6
SOLCAN v. ROMANIA,gemma3:4b,Event,Strict,0.167,0.077,0.105,1,5,12,13,6
SOLCAN v. ROMANIA,gemma3:4b,Event_who,Lenient,0.333,0.154,0.211,2,4,11,13,6
SOLCAN v. ROMANIA,gemma3:4b,Event_who,Strict,0.333,0.154,0.211,2,4,11,13,6
SOLCAN v. ROMANIA,gemma3:4b,Event_when,Lenient,1.000,0.273,0.429,3,0,8,11,3
SOLCAN v. ROMANIA,gemma3:4b,Event_when,Strict,1.000,0.273,0.429,3,0,8,11,3
SOLCAN v. ROMANIA,gemma3:4b,Event_what,Lenient,1.000,0.056,0.105,1,0,17,18,1
SOLCAN v. ROMANIA,gemma3:4b,Event_what,Strict,0.000,0.000,0.000,0,1,18,18,1
SOLCAN v. ROMANIA,gemma3:12b,Event,Lenient,0.889,0.615,0.727,8,1,5,13,9
SOLCAN v. ROMANIA,gemma3:12b,Event,Strict,0.889,0.615,0.727,8,1,5,13,9
SOLCAN v. ROMANIA,gemma3:12b,Event_who,Lenient,0.667,0.462,0.545,6,3,7,13,9
SOLCAN v. ROMANIA,gemma3:12b,Event_who,Strict,0.667,0.462,0.545,6,3,7,13,9
SOLCAN v. ROMANIA,gemma3:12b,Event_when,Lenient,0.875,0.636,0.737,7,1,4,11,8
SOLCAN v. ROMANIA,gemma3:12b,Event_when,Strict,0.875,0.636,0.737,7,1,4,11,8
SOLCAN v. ROMANIA,gemma3:12b,Event_what,Lenient,0.889,0.444,0.593,8,1,10,18,9
SOLCAN v. ROMANIA,gemma3:12b,Event_what,Strict,0.667,0.333,0.444,6,3,12,18,9
SOLCAN v. ROMANIA,llama3.3:latest,Event,Lenient,0.714,0.769,0.741,10,4,3,13,14
SOLCAN v. ROMANIA,llama3.3:latest,Event,Strict,0.643,0.692,0.667,9,5,4,13,14
SOLCAN v. ROMANIA,llama3.3:latest,Event_who,Lenient,0.308,0.308,0.308,4,9,9,13,13
SOLCAN v. ROMANIA,llama3.3:latest,Event_who,Strict,0.308,0.308,0.308,4,9,9,13,13
SOLCAN v. ROMANIA,llama3.3:latest,Event_when,Lenient,0.889,0.727,0.800,8,1,3,11,9
SOLCAN v. ROMANIA,llama3.3:latest,Event_when,Strict,0.889,0.727,0.800,8,1,3,11,9
SOLCAN v. ROMANIA,llama3.3:latest,Event_what,Lenient,0.857,0.333,0.480,6,1,12,18,7
SOLCAN v. ROMANIA,llama3.3:latest,Event_what,Strict,0.429,0.167,0.240,3,4,15,18,7
SOLCAN v. ROMANIA,deepseek-r1:8b,Event,Lenient,0.087,0.154,0.111,2,21,11,13,23
SOLCAN v. ROMANIA,deepseek-r1:8b,Event,Strict,0.000,0.000,0.000,0,23,13,13,23
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_when,Lenient,0.095,0.182,0.125,2,19,9,11,21
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_when,Strict,0.095,0.182,0.125,2,19,9,11,21
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,18,18,0
SOLCAN v. ROMANIA,deepseek-r1:8b,Event_what,Strict,0.000,0.000,0.000,0,0,18,18,0
SOLCAN v. ROMANIA,mistral:latest,Event,Lenient,0.364,0.923,0.522,12,21,1,13,33
SOLCAN v. ROMANIA,mistral:latest,Event,Strict,0.333,0.846,0.478,11,22,2,13,33
SOLCAN v. ROMANIA,mistral:latest,Event_who,Lenient,0.111,0.231,0.150,3,24,10,13,27
SOLCAN v. ROMANIA,mistral:latest,Event_who,Strict,0.111,0.231,0.150,3,24,10,13,27
SOLCAN v. ROMANIA,mistral:latest,Event_when,Lenient,0.800,0.727,0.762,8,2,3,11,10
SOLCAN v. ROMANIA,mistral:latest,Event_when,Strict,0.800,0.727,0.762,8,2,3,11,10
SOLCAN v. ROMANIA,mistral:latest,Event_what,Lenient,0.750,0.500,0.600,9,3,9,18,12
SOLCAN v. ROMANIA,mistral:latest,Event_what,Strict,0.417,0.278,0.333,5,7,13,18,12
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event,Lenient,0.727,0.615,0.667,8,3,5,13,11
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event,Strict,0.636,0.538,0.583,7,4,6,13,11
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_who,Lenient,0.200,0.154,0.174,2,8,11,13,10
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_who,Strict,0.200,0.154,0.174,2,8,11,13,10
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_when,Lenient,0.778,0.636,0.700,7,2,4,11,9
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_when,Strict,0.778,0.636,0.700,7,2,4,11,9
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_what,Lenient,0.667,0.222,0.333,4,2,14,18,6
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Event_what,Strict,0.500,0.167,0.250,3,3,15,18,6
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event,Lenient,0.800,0.308,0.444,4,1,9,13,5
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event,Strict,0.800,0.308,0.444,4,1,9,13,5
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.500,0.077,0.133,1,1,12,13,2
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.500,0.077,0.133,1,1,12,13,2
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_when,Lenient,1.000,0.273,0.429,3,0,8,11,3
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_when,Strict,1.000,0.273,0.429,3,0,8,11,3
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_what,Lenient,1.000,0.167,0.286,3,0,15,18,3
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.667,0.111,0.190,2,1,16,18,3
SOLCAN v. ROMANIA,mixtral:8x7b,Event,Lenient,0.667,0.308,0.421,4,2,9,13,6
SOLCAN v. ROMANIA,mixtral:8x7b,Event,Strict,0.500,0.231,0.316,3,3,10,13,6
SOLCAN v. ROMANIA,mixtral:8x7b,Event_who,Lenient,0.167,0.077,0.105,1,5,12,13,6
SOLCAN v. ROMANIA,mixtral:8x7b,Event_who,Strict,0.000,0.000,0.000,0,6,13,13,6
SOLCAN v. ROMANIA,mixtral:8x7b,Event_when,Lenient,0.667,0.182,0.286,2,1,9,11,3
SOLCAN v. ROMANIA,mixtral:8x7b,Event_when,Strict,0.000,0.000,0.000,0,3,11,11,3
SOLCAN v. ROMANIA,mixtral:8x7b,Event_what,Lenient,1.000,0.167,0.286,3,0,15,18,3
SOLCAN v. ROMANIA,mixtral:8x7b,Event_what,Strict,0.333,0.056,0.095,1,2,17,18,3
SOLCAN v. ROMANIA,dolphin3:8b,Event,Lenient,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,dolphin3:8b,Event,Strict,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_when,Lenient,0.000,0.000,0.000,0,0,11,11,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_when,Strict,0.000,0.000,0.000,0,0,11,11,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,18,18,0
SOLCAN v. ROMANIA,dolphin3:8b,Event_what,Strict,0.000,0.000,0.000,0,0,18,18,0
ALTAY v. TURKEY (No. 2),gemma3:1b,Event,Lenient,0.200,0.143,0.167,3,12,18,21,15
ALTAY v. TURKEY (No. 2),gemma3:1b,Event,Strict,0.200,0.143,0.167,3,12,18,21,15
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_who,Lenient,0.000,0.000,0.000,0,6,19,19,6
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_who,Strict,0.000,0.000,0.000,0,6,19,19,6
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_when,Lenient,0.250,0.143,0.182,3,9,18,21,12
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_when,Strict,0.250,0.143,0.182,3,9,18,21,12
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_what,Lenient,0.000,0.000,0.000,0,0,30,30,0
ALTAY v. TURKEY (No. 2),gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,0,30,30,0
ALTAY v. TURKEY (No. 2),gemma3:4b,Event,Lenient,0.625,0.476,0.541,10,6,11,21,16
ALTAY v. TURKEY (No. 2),gemma3:4b,Event,Strict,0.250,0.190,0.216,4,12,17,21,16
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_who,Lenient,0.111,0.053,0.071,1,8,18,19,9
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_who,Strict,0.111,0.053,0.071,1,8,18,19,9
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_when,Lenient,0.636,0.333,0.437,7,4,14,21,11
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_when,Strict,0.636,0.333,0.437,7,4,14,21,11
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_what,Lenient,0.250,0.067,0.105,2,6,28,30,8
ALTAY v. TURKEY (No. 2),gemma3:4b,Event_what,Strict,0.250,0.067,0.105,2,6,28,30,8
ALTAY v. TURKEY (No. 2),gemma3:12b,Event,Lenient,0.938,0.714,0.811,15,1,6,21,16
ALTAY v. TURKEY (No. 2),gemma3:12b,Event,Strict,0.438,0.333,0.378,7,9,14,21,16
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_who,Lenient,0.188,0.158,0.171,3,13,16,19,16
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_who,Strict,0.125,0.105,0.114,2,14,17,19,16
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_when,Lenient,0.800,0.571,0.667,12,3,9,21,15
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_when,Strict,0.800,0.571,0.667,12,3,9,21,15
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_what,Lenient,0.600,0.300,0.400,9,6,21,30,15
ALTAY v. TURKEY (No. 2),gemma3:12b,Event_what,Strict,0.600,0.300,0.400,9,6,21,30,15
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event,Lenient,0.000,0.000,0.000,0,0,21,21,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event,Strict,0.000,0.000,0.000,0,0,21,21,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_who,Lenient,0.000,0.000,0.000,0,0,19,19,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_who,Strict,0.000,0.000,0.000,0,0,19,19,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_when,Lenient,0.000,0.000,0.000,0,0,21,21,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_when,Strict,0.000,0.000,0.000,0,0,21,21,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,30,30,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Event_what,Strict,0.000,0.000,0.000,0,0,30,30,0
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event,Lenient,0.154,0.381,0.219,8,44,13,21,52
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event,Strict,0.135,0.333,0.192,7,45,14,21,52
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,19,19,0
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_who,Strict,0.000,0.000,0.000,0,0,19,19,0
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_when,Lenient,0.750,0.286,0.414,6,2,15,21,8
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_when,Strict,0.750,0.286,0.414,6,2,15,21,8
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_what,Lenient,0.000,0.000,0.000,0,1,30,30,1
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Event_what,Strict,0.000,0.000,0.000,0,1,30,30,1
ALTAY v. TURKEY (No. 2),mistral:latest,Event,Lenient,0.545,0.571,0.558,12,10,9,21,22
ALTAY v. TURKEY (No. 2),mistral:latest,Event,Strict,0.500,0.524,0.512,11,11,10,21,22
ALTAY v. TURKEY (No. 2),mistral:latest,Event_who,Lenient,0.100,0.105,0.103,2,18,17,19,20
ALTAY v. TURKEY (No. 2),mistral:latest,Event_who,Strict,0.100,0.105,0.103,2,18,17,19,20
ALTAY v. TURKEY (No. 2),mistral:latest,Event_when,Lenient,0.833,0.476,0.606,10,2,11,21,12
ALTAY v. TURKEY (No. 2),mistral:latest,Event_when,Strict,0.833,0.476,0.606,10,2,11,21,12
ALTAY v. TURKEY (No. 2),mistral:latest,Event_what,Lenient,0.556,0.167,0.256,5,4,25,30,9
ALTAY v. TURKEY (No. 2),mistral:latest,Event_what,Strict,0.333,0.100,0.154,3,6,27,30,9
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event,Lenient,0.786,0.524,0.629,11,3,10,21,14
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event,Strict,0.786,0.524,0.629,11,3,10,21,14
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_who,Lenient,0.167,0.105,0.129,2,10,17,19,12
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_who,Strict,0.167,0.105,0.129,2,10,17,19,12
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_when,Lenient,0.786,0.524,0.629,11,3,10,21,14
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_when,Strict,0.786,0.524,0.629,11,3,10,21,14
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_what,Lenient,0.500,0.167,0.250,5,5,25,30,10
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Event_what,Strict,0.400,0.133,0.200,4,6,26,30,10
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event,Lenient,0.600,0.143,0.231,3,2,18,21,5
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event,Strict,0.400,0.095,0.154,2,3,19,21,5
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.000,0.000,0.000,0,4,19,19,4
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.000,0.000,0.000,0,4,19,19,4
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.750,0.143,0.240,3,1,18,21,4
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.750,0.143,0.240,3,1,18,21,4
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.500,0.033,0.062,1,1,29,30,2
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.500,0.033,0.062,1,1,29,30,2
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Event,Lenient,0.727,0.381,0.500,8,3,13,21,11
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Event,Strict,0.545,0.286,0.375,6,5,15,21,11
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Event_who,Lenient,0.000,0.000,0.000,0,10,19,19,10
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Event_who,Strict,0.000,0.000,0.000,0,10,19,19,10
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Event_when,Lenient,0.778,0.333,0.467,7,2,14,21,9
